iter	Passed	Remaining
270	555	1494
271	557	1492
272	559	1489
273	561	1487
274	562	1484
275	564	1481
276	566	1479
277	568	1477
278	570	1475
279	573	1473
280	574	1470
281	576	1468
282	578	1466
283	580	1463
284	582	1461
285	584	1458
286	586	1455
287	587	1453
288	589	1450
289	591	1449
290	594	1447
291	596	1445
292	598	1445
293	600	1443
294	602	1440
295	604	1438
296	606	1436
297	608	1433
298	610	1430
299	612	1428
300	614	1427
301	616	1425
302	618	1422
303	620	1420
304	622	1417
305	623	1414
306	625	1412
307	627	1409
308	629	1407
309	631	1405
310	633	1403
311	635	1400
312	637	1398
313	639	1396
314	641	1393
315	642	1391
316	645	1389
317	646	1387
318	648	1384
319	650	1382
320	652	1380
321	654	1378
322	656	1376
323	658	1374
324	660	1372
325	662	1370
326	665	1368
327	666	1366
328	668	1364
329	670	1362
330	672	1359
331	674	1357
332	676	1355
333	678	1353
334	680	1350
335	682	1347
336	684	1345
337	686	1343
338	687	1341
339	689	1339
340	691	1337
341	693	1334
342	695	1332
343	697	1329
344	699	1327
345	700	1324
346	702	1322
347	704	1320
348	706	1317
349	708	1315
350	710	1312
351	711	1310
352	714	1309
353	716	1308
354	719	1306
355	721	1304
356	722	1302
357	725	1300
358	727	1298
359	728	1295
360	730	1293
361	732	1291
362	734	1289
363	736	1287
364	738	1284
365	740	1282
366	742	1279
367	744	1277
368	745	1275
369	747	1273
370	749	1271
371	751	1269
372	753	1267
373	755	1264
374	757	1262
375	759	1260
376	760	1257
377	762	1255
378	765	1253
379	767	1251
380	769	1249
381	770	1247
382	773	1245
383	775	1243
384	777	1242
385	779	1240
386	781	1238
387	784	1237
388	786	1234
389	787	1232
390	789	1230
391	791	1228
392	793	1226
393	795	1223
394	797	1221
395	799	1219
396	801	1217
397	803	1215
398	805	1213
399	807	1210
400	809	1208
401	811	1206
402	813	1204
403	814	1201
404	816	1199
405	818	1197
406	820	1195
407	822	1192
408	824	1191
409	826	1189
410	828	1186
411	830	1184
412	832	1183
413	834	1181
414	837	1179
415	839	1178
416	841	1176
417	843	1174
418	845	1172
419	847	1170
420	849	1168
421	851	1166
422	853	1164
423	855	1161
424	857	1159
425	858	1157
426	860	1154
427	862	1152
428	864	1150
429	865	1147
430	868	1146
431	870	1143
432	871	1141
433	873	1139
434	875	1137
435	877	1135
436	879	1133
437	881	1131
438	883	1129
439	885	1127
440	888	1125
441	890	1123
442	892	1121
443	894	1120
444	896	1118
445	899	1117
446	901	1115
447	903	1113
448	905	1111
449	908	1109
450	910	1107
451	911	1105
452	914	1103
453	915	1101
454	918	1099
455	920	1097
456	922	1095
457	924	1093
458	925	1091
459	928	1089
460	929	1087
461	931	1085
462	933	1082
463	935	1080
464	938	1079
465	939	1077
466	941	1074
467	943	1073
468	946	1071
469	947	1068
470	949	1066
471	951	1064
472	954	1063
473	956	1061
474	959	1060
475	960	1057
476	963	1056
477	965	1054
478	967	1052
479	969	1050
480	971	1048
481	973	1046
482	975	1044
483	977	1042
484	979	1040
485	981	1038
486	983	1036
487	985	1034
488	987	1032
489	989	1030
490	991	1027
491	993	1025
492	995	1023
493	997	1021
494	999	1019
495	1001	1017
496	1003	1015
497	1005	1013
498	1007	1011
499	1009	1009
500	1012	1007
501	1014	1006
502	1018	1006
503	1020	1004
504	1022	1002
505	1024	1000
506	1026	998
507	1028	996
508	1031	994
509	1033	993
510	1036	991
511	1038	989
512	1040	987
513	1042	986
514	1044	983
515	1046	982
516	1049	980
517	1051	978
518	1053	976
519	1055	974
520	1057	972
521	1060	970
522	1062	968
523	1064	967
524	1066	965
525	1068	963
526	1072	962
527	1074	960
528	1077	959
529	1079	957
530	1081	955
531	1083	953
532	1086	951
533	1087	949
534	1090	947
535	1092	945
536	1093	943
537	1095	941
538	1097	938
539	1099	936
540	1101	934
541	1103	932
542	1105	930
543	1107	928
544	1110	926
545	1111	924
546	1113	922
547	1115	920
548	1117	918
549	1119	916
550	1121	914
551	1123	912
552	1125	909
553	1127	907
554	1130	906
555	1132	904
556	1135	902
557	1137	901
558	1139	899
559	1141	896
560	1143	894
561	1145	892
562	1147	890
563	1149	888
564	1151	886
565	1154	884
566	1156	882
567	1157	880
568	1159	878
569	1161	876
570	1163	874
571	1166	872
572	1168	870
573	1170	868
574	1171	866
575	1173	864
576	1175	862
577	1177	859
578	1179	857
579	1181	855
580	1183	853
581	1185	851
582	1187	849
583	1189	847
584	1191	845
585	1194	843
586	1197	842
587	1199	840
588	1201	838
589	1203	836
590	1204	833
591	1206	831
592	1208	829
593	1210	827
594	1212	825
595	1214	823
596	1216	820
597	1217	818
598	1219	816
599	1221	814
600	1223	812
601	1225	810
602	1227	807
603	1229	805
604	1230	803
605	1232	801
606	1234	799
607	1236	796
608	1237	794
609	1239	792
610	1241	790
611	1243	788
612	1245	786
613	1247	784
614	1249	782
615	1251	780
616	1253	778
617	1256	776
618	1258	774
619	1259	772
620	1262	770
621	1264	768
622	1265	765
623	1267	763
624	1270	762
625	1271	759
626	1273	757
627	1275	755
628	1277	753
629	1279	751
630	1281	749
631	1282	747
632	1284	744
633	1286	742
634	1288	740
635	1290	738
636	1292	736
637	1294	734
638	1295	732
639	1297	729
640	1299	727
641	1301	725
642	1303	723
643	1305	721
644	1306	719
645	1308	717
646	1311	715
647	1313	713
648	1316	711
649	1318	709
650	1320	707
651	1322	705
652	1324	703
653	1326	701
654	1327	699
655	1329	697
656	1331	695
657	1333	692
658	1335	690
659	1336	688
660	1338	686
661	1340	684
662	1342	682
663	1344	680
664	1346	678
665	1348	676
666	1350	674
667	1352	671
668	1353	669
669	1355	667
670	1357	665
671	1360	663
672	1362	661
673	1364	659
674	1365	657
675	1367	655
676	1369	653
677	1371	651
678	1374	649
679	1376	647
680	1378	645
681	1380	643
682	1382	641
683	1384	639
684	1386	637
685	1388	635
686	1390	633
687	1392	631
688	1394	629
689	1396	627
690	1397	625
691	1399	622
692	1401	620
693	1403	618
694	1405	616
695	1407	614
696	1409	612
697	1410	610
698	1412	608
699	1414	606
700	1416	604
701	1418	602
702	1420	600
703	1422	598
704	1424	596
705	1426	594
706	1428	591
707	1430	589
708	1432	587
709	1435	586
710	1437	584
711	1438	582
712	1441	580
713	1443	578
714	1444	575
715	1446	573
716	1448	571
717	1450	569
718	1452	567
719	1454	565
720	1456	563
721	1458	561
722	1460	559
723	1461	557
724	1463	555
725	1465	553
726	1467	551
727	1469	548
728	1470	546
729	1472	544
730	1474	542
731	1476	540
732	1477	538
733	1480	536
734	1482	534
735	1483	532
736	1485	530
737	1487	527
738	1489	525
739	1491	524
740	1494	522
741	1496	520
742	1498	518
743	1500	516
744	1502	514
745	1504	512
746	1506	510
747	1508	508
748	1510	506
749	1512	504
750	1514	502
751	1516	500
752	1518	497
753	1520	495
754	1521	493
755	1523	491
756	1525	489
757	1527	487
758	1529	485
759	1530	483
760	1532	481
761	1534	479
762	1536	477
763	1538	475
764	1540	473
765	1542	471
766	1543	468
767	1545	466
768	1547	464
769	1549	462
770	1552	461
771	1554	459
772	1557	457
773	1559	455
774	1561	453
775	1563	451
776	1565	449
777	1567	447
778	1569	445
779	1571	443
780	1572	441
781	1574	438
782	1576	436
783	1578	434
784	1579	432
785	1581	430
786	1583	428
787	1585	426
788	1587	424
789	1589	422
790	1591	420
791	1592	418
792	1595	416
793	1597	414
794	1599	412
795	1600	410
796	1602	408
797	1604	406
798	1612	405
799	1614	403
800	1617	401
801	1618	399
802	1620	397
803	1622	395
804	1624	393
805	1626	391
806	1628	389
807	1630	387
808	1632	385
809	1634	383
810	1636	381
811	1637	379
812	1639	377
813	1641	375
814	1643	373
815	1645	371
816	1647	368
817	1649	366
818	1650	364
819	1652	362
820	1654	360
821	1656	358
822	1658	356
823	1660	354
824	1662	352
825	1663	350
826	1665	348
827	1667	346
828	1669	344
829	1671	342
830	1674	340
831	1676	338
832	1678	336
833	1680	334
834	1682	332
835	1684	330
836	1685	328
837	1688	326
838	1690	324
839	1692	322
840	1694	320
841	1695	318
842	1697	316
843	1699	314
844	1701	312
845	1703	310
846	1705	308
847	1707	306
848	1709	304
849	1711	302
850	1713	300
851	1715	297
852	1717	295
853	1718	293
854	1720	291
855	1722	289
856	1724	287
857	1726	285
858	1727	283
859	1730	281
860	1732	279
861	1735	277
862	1737	275
863	1739	273
864	1741	271
865	1743	269
866	1745	267
867	1747	265
868	1749	263
869	1751	261
870	1753	259
871	1754	257
872	1756	255
873	1758	253
874	1760	251
875	1762	249
876	1764	247
877	1766	245
878	1768	243
879	1770	241
880	1771	239
881	1773	237
882	1775	235
883	1777	233
884	1778	231
885	1780	229
886	1782	227
887	1784	225
888	1785	222
889	1787	220
890	1789	218
891	1791	216
892	1793	214
893	1795	212
894	1797	210
895	1799	208
896	1801	206
897	1803	204
898	1805	202
899	1807	200
900	1809	198
901	1811	196
902	1813	194
903	1815	192
904	1816	190
905	1818	188
906	1820	186
907	1822	184
908	1825	182
909	1827	180
910	1829	178
911	1831	176
912	1833	174
913	1835	172
914	1837	170
915	1839	168
916	1841	166
917	1843	164
918	1845	162
919	1847	160
920	1849	158
921	1851	156
922	1853	154
923	1856	152
924	1858	150
925	1860	148
926	1862	146
927	1864	144
928	1865	142
929	1867	140
930	1869	138
931	1871	136
932	1873	134
933	1875	132
934	1876	130
935	1878	128
936	1880	126
937	1882	124
938	1884	122
939	1886	120
940	1888	118
941	1889	116
942	1891	114
943	1893	112
944	1895	110
945	1897	108
946	1899	106
947	1901	104
948	1903	102
949	1905	100
950	1907	98
951	1908	96
952	1910	94
953	1913	92
954	1915	90
955	1917	88
956	1919	86
957	1921	84
958	1923	82
959	1925	80
960	1927	78
961	1929	76
962	1931	74
963	1933	72
964	1935	70
965	1937	68
966	1938	66
967	1940	64
968	1943	62
969	1945	60
970	1946	58
971	1948	56
972	1950	54
973	1952	52
974	1954	50
975	1956	48
976	1958	46
977	1960	44
978	1962	42
979	1964	40
980	1966	38
981	1967	36
982	1970	34
983	1973	32
984	1975	30
985	1977	28
986	1979	26
987	1981	24
988	1983	22
989	1985	20
990	1986	18
991	1989	16
992	1990	14
993	1992	12
994	1994	10
995	1996	8
996	1998	6
997	2000	4
998	2002	2
999	2003	0
