iter	RMSE
730	15447.41469
731	15446.13854
732	15441.39071
733	15434.88243
734	15432.72497
735	15425.30173
736	15421.38108
737	15419.27446
738	15415.18611
739	15411.58677
740	15409.43152
741	15404.20374
742	15399.47381
743	15392.69845
744	15389.1131
745	15382.90931
746	15374.61974
747	15368.82615
748	15365.89525
749	15362.64329
750	15356.27138
751	15350.5676
752	15349.45785
753	15346.25477
754	15343.67265
755	15341.01127
756	15334.74932
757	15331.21676
758	15325.43421
759	15320.93418
760	15312.56101
761	15311.41695
762	15301.37266
763	15296.65852
764	15289.82833
765	15284.46107
766	15276.29055
767	15271.87916
768	15263.79488
769	15257.57693
770	15250.33279
771	15244.11878
772	15238.23082
773	15234.68443
774	15231.62596
775	15227.28743
776	15223.14922
777	15222.2818
778	15219.07313
779	15214.95181
780	15209.71194
781	15203.71446
782	15199.88495
783	15195.38269
784	15190.65757
785	15186.1398
786	15182.3833
787	15176.25335
788	15170.19823
789	15166.31726
790	15163.90738
791	15157.44674
792	15153.12245
793	15147.32569
794	15143.54793
795	15138.16972
796	15130.93386
797	15124.36483
798	15121.69009
799	15116.38117
800	15115.13149
801	15114.53773
802	15108.76947
803	15104.27738
804	15102.78204
805	15098.19062
806	15091.72867
807	15085.04256
808	15080.98894
809	15075.41393
810	15070.82486
811	15067.12733
812	15061.44402
813	15056.33331
814	15048.29754
815	15043.5952
816	15039.2489
817	15035.89652
818	15031.92858
819	15024.81039
820	15019.25508
821	15014.40375
822	15009.03286
823	15003.57918
824	14992.73262
825	14989.95705
826	14987.78585
827	14984.21277
828	14983.81071
829	14980.20952
830	14972.37223
831	14966.28353
832	14959.63234
833	14954.31364
834	14949.24916
835	14943.68296
836	14939.5203
837	14934.58005
838	14931.22293
839	14927.38676
840	14922.17061
841	14919.81972
842	14915.08128
843	14911.71834
844	14909.18205
845	14902.60083
846	14898.20715
847	14894.34706
848	14889.12053
849	14885.83033
850	14880.41394
851	14876.7097
852	14872.76078
853	14867.53624
854	14857.36724
855	14850.97536
856	14846.53902
857	14844.09013
858	14840.38988
859	14835.76487
860	14829.45086
861	14825.25274
862	14819.19623
863	14816.75492
864	14813.79372
865	14808.95258
866	14801.5655
867	14798.18451
868	14794.00938
869	14788.23655
870	14782.65022
871	14781.40661
872	14778.53425
873	14774.66491
874	14771.69908
875	14769.25342
876	14767.17257
877	14761.12272
878	14757.43012
879	14749.09963
880	14745.49798
881	14740.79809
882	14736.635
883	14733.86912
884	14730.79618
885	14725.52637
886	14719.38306
887	14718.82051
888	14715.24585
889	14710.4571
890	14709.08417
891	14701.5372
892	14696.59959
893	14693.48224
894	14691.5328
895	14687.35115
896	14683.06245
897	14675.58902
898	14671.74694
899	14665.72246
900	14661.10748
901	14657.25089
902	14651.6978
903	14647.4269
904	14645.40202
905	14638.40135
906	14631.46043
907	14627.87259
908	14622.39084
909	14615.81421
910	14612.28083
911	14606.7661
912	14602.6964
913	14597.216
914	14592.8602
915	14589.8305
916	14586.19345
917	14585.85266
918	14580.32822
919	14576.01025
920	14567.71006
921	14561.80761
922	14555.89275
923	14552.72198
924	14546.39337
925	14543.62422
926	14539.39427
927	14536.28226
928	14531.2035
929	14528.17892
930	14524.74741
931	14520.57224
932	14513.7291
933	14510.2541
934	14501.94526
935	14497.62168
936	14491.48298
937	14486.45443
938	14482.32625
939	14477.81606
940	14472.7295
941	14467.48969
942	14463.58823
943	14460.96815
944	14457.32595
945	14454.84353
946	14451.80714
947	14448.15374
948	14443.419
949	14436.89823
950	14431.44055
951	14430.16943
952	14426.56601
953	14422.47239
954	14422.11351
955	14418.51867
956	14413.329
957	14405.63114
958	14398.38516
959	14396.89259
960	14393.50903
961	14389.05207
962	14385.89442
963	14379.63581
964	14375.47472
965	14369.62524
966	14368.4291
967	14363.52249
968	14358.56719
969	14353.45006
970	14350.27852
971	14349.96071
972	14347.89519
973	14342.70809
974	14338.63497
975	14332.0974
976	14327.78741
977	14321.08685
978	14315.65986
979	14312.66415
980	14308.62198
981	14304.8075
982	14300.73989
983	14297.09674
984	14295.83774
985	14292.08434
986	14288.20585
987	14284.33997
988	14279.1379
989	14274.75426
990	14273.37991
991	14267.97446
992	14262.64023
993	14259.50192
994	14256.68468
995	14253.51395
996	14249.66417
997	14248.1205
998	14243.35271
999	14238.59952
